SMILES,YM,rho,Cp,Td,Tg,Tm,NAME,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds
[*]N1C(=O)c2ccc(N3C(=O)CCC34CCC(=O)N4c3ccc(-c4cccc(-c5ccc6c(c5)C(=O)N(c5ccc(C7([*])c8ccccc8C(=O)N7C)cc5)C6=O)c4)cc3)cc2C1=O,2089.601,1.3126745,1.2669129,775.988,544.1708,600.6736,"Polyimide derived from carbonyl-containing unit, containing amide, imide, ketone",815.842,7.3676,135.69,0,7,6
[*]NC1CC(C)(C)CC(C)(c2ccc(-c3c(C)cc(C)c(-c4ccc(-c5ccc(N6C(=O)c7cc(Cl)c(N8C(=O)c9cc([*])c(Cl)cc9C8=O)cc7C6=O)cc5C)cc4)c3C)c(C)c2)C1,2189.1506,1.2714372,1.2508895,752.119,560.0519,638.1659,"Polyimide derived from carbonyl-containing unit, containing imide",872.893,12.2026,86.79,1,5,7
[*]c1nc2cc(-c3ccc(-c4ccc5c(c4)C(=O)N([*])C5=O)c(C4(c5nc6cc(-c7cccc(Cl)c7Cl)ccc6o5)CCCCCCCCCCC4)c3)ccc2o1,1651.4274,1.3460978,1.1835003,791.00867,543.93567,652.95184,"Polyamide derived from carbonyl-containing unit, containing amide, ketone",766.725,12.1025,89.44,0,6,5
[*]CCCCc1ccc(OCCNC(=O)CCC[*])cc1Cl,1132.4958,1.2221147,1.308787,636.3102,334.68204,498.6807,"Polyamide derived from aromatic unit, containing amide, ketone",295.81,3.8731,38.33,1,2,11
[*]CCCCCCCNc1ccc2c(c1)C(=O)N(c1ccc3c(c1)C(=O)N(c1ccc(OCCC[*])cc1Br)C3=O)C2=O,2193.861,1.2964892,1.344491,708.3436,474.49545,582.68854,"Polyamide derived from aromatic diacid-derived unit, containing amide, ketone",616.512,7.1168,96.02,1,6,14
[*]C(=O)c1ccc(-c2c(C)cc(Oc3cc(C)c([*])c(C)c3)cc2C)cc1C,1899.1975,1.250562,1.2690966,726.0125,503.3438,595.6218,"Polymer derived from aromatic unit, containing no major functional groups",342.438,5.5521,26.3,0,2,4
[*]Cc1cccc(C(=O)c2ccc(OC)c(C([*])=O)c2)c1,1226.4524,1.3137213,1.3293251,750.25946,428.62112,546.0419,"Polymer derived from aromatic unit, containing no major functional groups",252.269,2.665,43.37,0,3,5
[*]c1cc2c(s1)-c1sc(Oc3ccc(O[Si](CC)(CC)CC)c(I)c3)cc1C2=C1c2cc([*])sc2-c2sc(O[Si](CC)(CC)CC)cc21,1774.1831,1.2497612,1.2852349,604.8761,372.78418,470.29086,"Polymer derived from aromatic unit, containing no major functional groups",829.033,12.4149,27.69,0,7,12
[*]c1nc(-c2ccc3c(c2)C(=O)N(C(C)(C)C)C3=O)nc(-c2ccc(Oc3c(C)c([*])cc(C)c3C)c3c2C(=O)c2ccccc2C3=O)n1,2161.0493,1.1757653,1.1595328,744.1156,538.686,617.30743,"Polyamide derived from carbonyl-containing unit, containing amide, ketone",620.665,5.44226,119.42,0,8,4
[*]CCCCCCCCC(=O)N1C(=O)c2cc(Cl)c(Oc3ccc(C)c(Nc4ccc(CCC[*])cc4)c3)cc2C1=O,1714.4282,1.2295492,1.2698158,682.8627,434.0403,564.9287,"Polyamide derived from carbonyl-containing unit, containing amide, ketone",559.106,8.90542,75.71,1,5,15
[*]c1ccc(-c2cc(-c3ccccc3)c3cc(-c4ccc5c(c4)C(=O)N(c4cc(C)c(N6C(=O)c7ccc([*])cc7C6=O)c(C)c4)C5=O)ccc3n2)cc1,2361.6199,1.3186455,1.2141696,792.3085,579.4006,693.7481,"Polyamide derived from aromatic diacid-derived unit, containing amide, ketone",673.728,7.80304,87.65,0,5,5
[*]CCCCCc1ccc(-c2cccc(Oc3ccc(-c4ccc(CCC[*])s4)cc3)c2)cc1,2128.6926,1.2102424,1.2669715,683.75146,367.96066,475.41943,"Polymer derived from aromatic unit, containing no major functional groups",438.636,9.455,9.23,0,2,12
[*]OC(=O)SSc1cccc(S(=O)(=O)c2cccc(-c3cc(O[*])cc(-c4ccccn4)c3)c2)c1,1453.6846,1.3816053,1.3341522,621.5624,399.37177,479.48544,"Polysulfone derived from aromatic unit, containing ketone, sulfone",493.587,6.4327,82.56,0,8,7
[*]Oc1ccc(C(F)(F)F)cc1-c1cc(C)c(-c2cc(C)c(N3C(=O)c4ccc([*])cc4C3=O)c(C)c2)c(C)c1,2219.6736,1.2935317,1.2985997,832.81915,546.4387,664.51025,"Polymer derived from aromatic unit, containing no major functional groups",513.515,7.09138,46.61,0,3,4
[*]c1ccc2c(c1)C(=O)N(c1ccc(N=C3OC(=O)c4ccc(C(=O)N5C(=O)c6ccc(C(C)(C)c7ccc8c(c7)C(=Nc7ccc(-c9ccc(N=C%10OC(=O)c%11ccc([*])cc%11%10)cc9)cc7)OC8=O)cc6C5=O)cc43)cc1)C2=O,2275.3167,1.3629678,1.3006887,760.054,558.18445,659.015,"Polyimide derived from aromatic diacid-derived unit, containing amide, imide, ketone",1023.97,9.0118,207.81,0,14,8
[*]C(=O)c1cccc(-c2ccc3[nH]c(C(c4nc5cc(C(c6nc7cc([*])ccc7[nH]6)(C(F)(F)F)C(F)(F)F)ccc5[nH]4)(C(F)(F)F)C(F)(F)F)nc3c2)c1,1665.6224,1.4679732,1.4189583,756.8183,531.8235,589.8691,"Polymer derived from aromatic unit, containing no major functional groups",752.519,8.668,103.11,3,4,6
[*]c1cccc(-c2ccc3oc(-c4nc5cc(Nc6nc7cc([*])ccc7o6)ccc5o4)nc3c2)c1,2217.4817,1.2807004,1.0188631,815.5861,603.2482,679.9437,"Polymer derived from aromatic unit, containing no major functional groups",442.434,5.537,90.12,1,7,4
[*]c1ccc(N2C(=O)c3cccc(-c4cccc(-c5ccc([Si](c6ccccc6)(c6ccccc6)c6ccc(-c7cc(C)c(-c8ccc([Si](c9ccccc9)(c9ccccc9)c9ccc(-c%10cccc%11c%10C(=O)N([*])C%11=O)cc9)cc8)c(C)c7)cc6)cc5)c4)c3C2=O)cc1,2160.88,1.2341806,1.3114938,764.134,541.28394,628.4453,"Polyimide derived from aromatic diacid-derived unit, containing amide, imide, ketone",1215.57,12.42874,74.76,0,4,14
[*]Oc1cccc(-c2cc(C3([*])OC(=O)c4ccccc43)c(C)cc2Sc2ccc(OC)cc2)c1,1950.6852,1.2558624,1.3814716,742.39294,505.12387,594.9133,"Polymer derived from aromatic unit, containing no major functional groups",452.531,6.58572,44.76,0,5,6
[*]Nc1ccc(Cc2ccc(-c3ccc(Cc4ccc([*])cc4)cc3)c(F)c2)cc1,2316.1675,1.3041221,1.2666179,737.5777,469.8134,590.73773,"Polymer derived from aromatic unit, containing no major functional groups",365.451,5.7251,12.03,1,1,6
[*]c1cc(C)c(N=Cc2ccc(-c3cc4c5c(ccc6c7c(C(C)(C)C)cc8c9c(ccc(c3c56)c97)C(=O)N(c3ccc5c(c3)C(=O)N(C(C)(C)C)C5=O)C8=O)C(=O)N([*])C4=O)s2)cc1C,2120.9656,1.1004338,1.0433689,723.0848,573.4885,638.3662,"Polyamide derived from aromatic diacid-derived unit, containing amide, ketone",858.976,10.56064,124.5,0,8,4
[*]c1ccc(S(=O)(=O)c2ccc(-c3ccc(S(=O)(=O)c4ccc(NC5CC(=O)N(c6ccc(-c7ccc(N8C(=O)c9ccc([*])cc9C8=O)cc7)cc6)C5=O)cc4)cc3)cc2)cc1,2187.2046,1.3791128,1.2707042,744.58325,556.9297,671.2416,"Polyimide derived from aromatic diacid-derived unit, containing amide, imide, ketone, sulfone",841.923,6.58,155.07,1,9,10
[*]SC(=O)c1ccccc1-c1ccc(-c2cccc(-c3cccc(-c4cccc5c4C(=O)N([*])C5=O)c3)c2)cc1,1915.5839,1.2618805,1.2601938,694.2081,499.43738,557.5229,"Polyamide derived from aromatic diacid-derived unit, containing amide, ketone",509.586,7.7526,54.45,0,4,5
[*]c1ccc(OCc2ccc3nc(-c4nc5ccc(-c6ccc([*])cc6)cc5[nH]4)[nH]c3c2)cc1,2277.6873,1.2834516,1.172017,785.40753,489.4157,584.52563,"Polymer derived from aromatic unit, containing no major functional groups",414.468,4.7014,66.59,2,3,5
[*]c1ccc(-c2cc(Oc3cc(-c4ccc(C)c(-c5ccc(C)c(N6C(=O)c7ccc([*])cc7C6=O)c5)c4)ccc3C)ccc2C)cc1,2200.2898,1.3112363,1.3414556,820.8953,519.848,633.01605,"Polymer derived from aromatic unit, containing no major functional groups",597.714,8.86338,46.61,0,3,6
[*]c1ccc(-c2ccc(-c3ccc(-c4cc([*])ccc4-c4cccc(-c5ccc([N+](=O)[O-])cc5)c4)cc3)cc2)cc1,2308.0256,1.251028,1.3114737,745.90643,523.6019,585.71185,"Polymer derived from aromatic unit, containing no major functional groups",501.585,8.279,43.14,0,2,6
[*]Oc1ccc([Si](c2ccccc2)(c2ccccc2)c2ccc(-c3c(C)cc(-c4cccc(-c5cccc6c5C(=O)N(c5cccc(C([*])=O)c5)C6=O)c4)cc3C)cc2)cc1,2520.6987,1.222573,1.3015825,767.0995,534.9963,618.04126,"Polyamide derived from aromatic unit, containing amide, ketone",779.968,9.01504,63.68,0,4,10
[*]C(=O)c1cc(C(F)(F)F)ccc1N1C(=O)c2ccc(-c3ccc(C4(C)CC(C)(C)c5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc54)cc3)cc2C1=O,2251.3499,1.3462495,1.2950989,797.3453,551.6637,646.9379,"Polyimide derived from aromatic diacid-derived unit, containing imide",696.681,7.825,91.83,0,5,5
[*][Si](C)(C)c1ccc(Oc2ccc(-c3ccc(C(C)CC(C)(C)c4ccc(-c5ccc([Si]([*])(C)C)cc5)cc4C)cc3)c(C)c2)cc1,2053.369,1.0482281,1.3096395,708.4956,455.25137,557.5075,"Polymer derived from aromatic unit, containing no major functional groups",625.017,10.82394,9.23,0,1,10
[*]CC(=O)C1(C)CC(c2cccc(-c3ccc(N=CCCCC=Nc4ccc(N5C(=O)c6ccc(O[*])cc6C5=O)cc4)cc3)c2)CC(C)(C)C1,2068.0015,1.2181212,1.2467376,686.2063,480.85806,589.1408,"Polymer derived from carbonyl-containing unit, containing ketone",651.807,10.1091,88.4,0,6,12
[*]C(=S)C(=O)c1ccc(-c2cc(C)c(-c3ccc4c(c3)C(=O)N(c3ccc(-c5nnc([*])o5)s3)C4=O)c(C)c2)c(C)c1,1443.0137,1.3030252,1.2495242,712.8713,542.3971,627.54034,"Polyamide derived from aromatic diacid-derived unit, containing amide, ketone",561.644,6.09196,93.37,0,8,6
[*]CSc1ccc(N=Cc2ccc(Nc3ccc(C=Nc4ccc(-c5ccc(C=Nc6ccc(-c7ccc(N=Cc8ccc(C[*])cc8)cc7)cc6)cc5)cc4)cc3)cc2)cc1,2019.8839,1.2122726,1.1900854,669.46484,441.38657,524.61633,"Polymer derived from aromatic unit, containing no major functional groups",792.024,14.4148,61.47,1,6,15
[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccccc3OCCN([*])CC(O)CCl)cc1)C2=O,2058.234,1.3134089,1.3570554,715.5155,494.13974,586.7947,"Polyamide derived from aromatic unit, containing amide, ketone",464.905,3.1989,79.31,1,6,10
[*]CC1(Nc2ccccc2C2(O[*])C3CC4CC(C3)CC2C4)C2CC3CC(C2)CC1C3,1447.6025,1.0111418,1.0825222,635.784,443.9608,530.0551,"Polymer derived from organic repeating unit, containing no major functional groups",389.583,6.3933,21.26,1,2,5
[*]c1cn(-c2ccc(-c3cc(N4C(=O)c5ccc(N6C(=O)c7ccc(-c8ccsc8)cc7C6=O)cc5C4=O)ccc3C)cc2)cc1[*],2174.3206,1.3929187,1.2896674,738.42786,548.82074,654.389,"Polyimide derived from carbonyl-containing unit, containing imide",603.659,6.13162,79.69,0,6,5
[*]Cc1ccc(-c2ccc(-c3cc(-c4c(Br)cc(OC(=O)C(=[*])C#N)cc4Br)ccc3O)cc2)cc1,2034.9368,1.6396477,1.5356619,673.49316,467.2341,582.74554,"Polymer derived from aromatic unit, containing ketone",574.248,7.11818,70.32,1,4,6
[*]c1ccc(-c2cc(-c3ccc([*])cc3)cc(-c3ccc(S(=O)(=O)c4ccc(-c5ccccc5C(C)(C)C)cc4[N-][N+]#N)cc3)c2)cc1,1792.2295,1.2568628,1.253141,767.34686,498.41812,585.76074,"Polysulfone derived from aromatic unit, containing sulfone",617.774,9.60738,76.39,0,3,7
[*]OS(=O)(=O)c1ccc(OS(=O)(=O)c2ccc(OS(=O)(=O)c3ccc(C4(CCc5ccc(-c6ccc([*])cc6)cc5)CC5CCC4C5)cc3)cc2)cc1,1944.7516,1.316763,1.4453373,609.84845,418.77872,495.9119,"Polysulfone derived from aromatic unit, containing sulfone",742.893,6.9238,130.11,0,9,13
[*]c1nnc(-c2ccc(-c3ccc(Oc4ccc(-c5ccc([*])s5)c5nsnc45)cc3)cc2)o1,2040.5996,1.3344275,1.1703324,738.1867,529.99005,656.51587,"Polymer derived from organic repeating unit, containing no major functional groups",452.52,5.2783,73.93,0,8,5
[*]c1c(C)cc(-c2ccc3c(c2)C(=O)N(c2ccc4c(c2)C(=O)N(c2ccc5c(c2)C(=O)N(c2cc(C)c(-c6ccc7c(c6)nc([*])n7C)c(C)c2)C5=O)C4=O)C3=O)cc1C,2108.3381,1.2630814,1.23736,733.24347,580.1045,647.6865,"Polyamide derived from carbonyl-containing unit, containing amide, ketone",773.805,6.89198,129.96,0,8,5
[*]OC1=C2C=C(c3cc4c(C(=O)c5ccc(N=Cc6ccc(-c7ccc(N=Cc8ccc(-c9ccc(N=Cc%10ccc(C%11CCCN%11[*])cc%10)cc9F)cc8)cc7F)cc6)cc5F)c5ccccccc5cccccc34)C=C(c3ccccc3)C=CC=CC=C21,2280.3472,1.2332681,1.1897205,657.98114,467.01855,537.7954,"Polymer derived from carbonyl-containing unit, containing no major functional groups",1161.34,20.2207,66.62,0,6,14
[*]CCCCCCCCCc1cccc(-c2cccc(N3C(=O)c4ccc(-c5ccc6c7c(cccc57)C(=O)N(c5ccc(C(=S)c7ccc(CCC[*])s7)cc5)C6=O)cc4C3=O)c2)c1,1975.0786,1.1906859,1.1964222,749.84375,490.50684,574.12866,"Polyimide derived from aromatic diacid-derived unit, containing amide, imide, ketone",863.117,13.7438,74.76,0,6,18
[*]c1ccc2c(c1)C(=O)N(C1(C(=O)N3C(=O)c4ccc(-c5ccc(-c6ccc7c(c6)C(=O)N([*])C7=O)c(I)c5)cc4C3=O)CCCCC1)C2=O,2064.7695,1.3803488,1.3225833,732.85486,561.96985,637.9187,"Polyimide derived from aromatic diacid-derived unit, containing amide, imide, ketone",747.501,4.9818,129.21,0,7,4
[*]c1ccc(N=Cc2ccc(Oc3ccc(-c4ccc(C=Nc5ccc(-c6ccc7c(c6)C(=O)N(c6ccc8c(c6)C(=O)N([*])C8=O)C7=O)cc5)cc4)c(C)c3)cc2)cc1,1807.8271,1.2725624,1.2297103,734.1955,530.02405,617.20844,"Polyamide derived from aromatic diacid-derived unit, containing amide, ketone",754.802,9.65802,108.71,0,7,9
[*]C1C(=O)N(C(=O)CCCCCCCCCCCc2ccc(Br)cc2-c2ccc3cc(O[Si](C)(C)C(C)(C)C)ccc3c2)C(=O)C1[*],1492.683,1.1539001,1.3234472,613.00336,390.8151,504.99683,"Polyimide derived from carbonyl-containing unit, containing amide, imide, ketone",690.795,10.6678,63.68,0,4,15
[*]c1ccc(-c2ccc3c(c2)C(=O)N(C(=O)c2ccc4oc(N5C(=O)c6ccc(-c7cccc8c7C(=O)N([*])C8=O)cc6C5=O)nc4c2)C3=O)cc1,2243.1382,1.3277756,1.2188262,771.3732,604.0546,678.5959,"Polyimide derived from aromatic diacid-derived unit, containing amide, imide, ketone",656.566,4.6337,155.24,0,9,4
[*]c1nc2cc3nc(-c4ccccc4)c(-c4ccccc4)nc3cc2nc1N1C(=O)c2ccc(Nc3ccc4c(c3)C(=O)N([*])C4=O)cc2C1=O,2139.5222,1.2894583,1.2101259,743.8266,535.3449,614.7376,"Polyimide derived from carbonyl-containing unit, containing amide, imide, ketone",637.615,5.6861,138.35,1,9,5
[*]Nc1ccc(-c2ccc(-c3ccc(-c4cc(-c5ccccc5)ccc4C4CC(=O)N([*])C4=O)cc3C)c(C)c2)cc1,1741.668,1.2465528,1.2176974,673.7643,498.29565,585.9154,"Polyamide derived from aromatic unit, containing amide, ketone",520.632,8.15444,49.41,1,3,6
[*]C(=O)c1ccc(C(=O)O)cc1C(c1ccc(N2C(=O)c3ccc([*])cc3C2=O)c(C)c1)(C(F)(F)F)C(F)(F)F,2063.0725,1.4075689,1.2675273,718.79517,560.6849,659.767,"Polyester derived from aromatic diacid-derived unit, containing ester, ketone",533.38,4.76862,91.75,1,4,5
[*]c1ccc(-c2ccc(C([*])(C(F)(F)F)C(F)(F)F)cc2-c2ccc(S(=O)(=O)c3ccc(OCCCCCCCCCCCC)cc3)cc2)cc1,1679.0657,1.3296375,1.3219025,681.7279,423.14218,503.99078,"Polysulfone derived from aromatic unit, containing sulfone",702.801,11.1969,43.37,0,3,17
[*]C(=O)c1ccccc1-c1c2c(c(C(=O)N3C(=O)c4ccc(-c5c6c(c(C([*])=O)c7c5C5c8ccccc8C7c7ccccc75)C5c7ccccc7C6c6ccccc65)cc4C3=O)c3c1C1c4ccccc4C3c3ccccc31)C1c3ccccc3C2c2ccccc21,1934.0537,1.2441628,1.2377931,784.8501,577.4992,641.4918,"Polyamide derived from aromatic diacid-derived unit, containing amide, ketone",1162.313,16.7848,88.59,0,5,5
[*]c1nc2ccc(-c3ccc(-c4nc5cc(-c6nc7cc(-c8cccc(-c9cccc(-n%10c(=O)c%11cc%12oc%13cc%14c(cc%13oc%12cc%11c%10=O)C%10(C(C)C)C%11=CC%12Oc%13cc%15c(cc%13OC%12C=C%11C%14(C(C)C)c%11ccccc%11%10)C(=O)N([*])C%15=O)c9)c8)ccc7[nH]6)ccc5[nH]4)cc3)cc2[nH]1,2379.0625,1.20792,1.2436489,737.4972,506.51685,583.67566,"Polyamide derived from carbonyl-containing unit, containing amide, ketone",1265.355,15.3283,207.23,3,12,8
[*]Oc1ccc2nc(CC(CC)CCCC)cc(-c3ccc(-c4cc([*])nc5ccc(CC(CC)CCCC)cc45)c(C)c3)c2c1,915.47705,1.1523811,1.2539257,692.3721,458.28073,560.5009,"Polymer derived from aromatic unit, containing no major functional groups",584.848,10.96092,35.01,0,3,15
[*]c1ccc2c3c1cccc3c(=O)n1c3ccc(C=Cc4ccc5c(=O)n6c7cc(-c8ccc(C9(c%10ccc(-c%11ccc(C%12([*])OC(=O)c%13ccccc%13%12)cc%11)cc%10)c%10ccccc%10C(=O)c%10ccccc%109)cc8)ccc7nc6c6cccc4c56)cc3nc21,1935.0756,1.2626916,1.1243287,778.41925,607.58307,694.8046,"Polymer derived from aromatic unit, containing no major functional groups",1115.217,15.0241,112.11,0,9,7
[*]Oc1ccc(N(CCCCCCOc2cnc([*])cn2)c2ccc(N=Nc3ccc([N+](=O)[O-])c4ccccc34)cc2)s1,2354.5444,1.1848415,1.1843301,632.74036,388.4819,466.4879,"Polymer derived from aromatic unit, containing no major functional groups",566.643,7.8101,115.34,0,10,14
[*]N1C(=O)N(C2(C)C(=O)N(C(=O)c3ccc(N=Nc4ccc(CC)cc4)cc3)C(=O)N2[*])C(=O)C1(C)c1ccc(N=Nc2ccc(-c3ccc(C)c(C)c3)cc2)cc1,2193.237,1.1933285,1.1998271,651.987,469.0511,537.993,"Polyimide derived from carbonyl-containing unit, containing amide, imide, ketone",744.812,9.59244,147.75,0,9,9
[*]c1cccc(-c2ccc3c(c2)C(=O)N(c2ccc(N=Cc4ccc(-c5ccc(N6C(=O)c7ccc(CC([*])C=C)cc7C6=O)cc5C)cc4)cc2)C3=O)c1C,1673.0066,1.2699039,1.2245002,708.82635,536.6844,610.3986,"Polyamide derived from aromatic diacid-derived unit, containing amide, ketone",703.798,9.23014,87.12,0,5,9
[*]OCCNc1c(C)cc(-c2cccc(Cc3ccc([*])cc3)c2)cc1C,2477.9653,1.2057463,1.4258198,723.1639,433.18546,533.6432,"Polymer derived from organic repeating unit, containing no major functional groups",329.443,4.62864,21.26,1,2,7
[*]C(=O)c1cc(C)c(-c2ccc(C3(C)CC(C)(C)c4ccc(N5C(=O)c6ccc(-c7cccc(-c8cc(C)c([*])c(C)c8)c7)cc6C5=O)cc43)cc2)c(C)c1,2198.8542,1.1914263,1.2591753,761.436,538.0712,610.6119,"Polymer derived from aromatic diacid-derived unit, containing no major functional groups",691.871,10.57328,54.45,0,3,6
[*]c1ccc(-c2ccc(N3C(=O)c4ccc(-c5ccc(-c6ccc7c(c6)C(=O)N(c6ccc([Si](c8ccccc8)(c8ccccc8)c8ccc([*])cc8)cc6)C7=O)o5)cc4C3=O)cc2)cc1,2097.8198,1.26073,1.2040043,755.50146,562.3288,664.4021,"Polyimide derived from aromatic diacid-derived unit, containing amide, imide, ketone",842.983,7.6084,87.9,0,5,9
[*]Nc1ccc(-c2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc5c(c3)C(CCCCCC)(CCCCCC)c3cc([*])ccc3-5)C4=O)cc2)cc1,2112.93,1.2536533,1.2290345,775.85974,493.92407,608.22687,"Polyamide derived from aromatic unit, containing amide, ketone",660.858,11.2046,58.64,1,4,15
[*]Oc1ccc2c(c1)C(=O)N(c1cc(C)c(Cc3cc(C)c(-c4cc(C)c(-c5ccc6c(c5)C(=O)N([*])C6=O)c(C)c4)c(C)c3)c(C)c1)C2=O,1952.4539,1.2525359,1.4271429,744.9848,521.6874,601.25604,"Polyamide derived from aromatic diacid-derived unit, containing amide, ketone",632.716,8.16592,83.99,0,5,6
[*]c1cc2cc(C3NC(=O)C([*])NC3=O)c(=O)oc2cc1C(=O)NCCCCC=C(C#N)C#N,1996.1825,1.2816064,1.1109519,655.3506,431.84985,543.4931,"Polyimide derived from aromatic unit, containing amide, imide, ketone",431.408,0.00376,165.09,3,7,7
[*]C(=O)Nc1c(F)c(F)c(S(=O)(=O)c2c(F)c(F)c(Oc3ccc(N4CCN([*])CC4)cc3)c(F)c2F)c(F)c1F,1806.414,1.5160825,1.3563383,590.13916,488.71536,580.81836,"Polysulfone derived from carbonyl-containing unit, containing amide, ketone, sulfone",579.425,5.092,78.95,1,6,6
[*]CCCCCCN1C(=O)c2ccc(Sc3ccc(-c4ccc(-c5ccc(-c6ccc7c(c6)C(=O)N(CCC[*])C7=O)cc5)cc4)cc3)cc2C1=O,1870.072,1.252742,1.3545258,756.8878,495.77216,616.80536,"Polyimide derived from carbonyl-containing unit, containing amide, imide, ketone",676.838,9.9165,74.76,0,5,14
[*]CCCNc1ccc(-c2ccc3c(c2)C(=O)N(CN2C(=O)C(Cl)=C(Oc4cccc(CCC[*])c4)C2=O)C3=O)cc1,2493.2476,1.2723757,1.2967529,668.19995,478.82422,575.11053,"Polyamide derived from aromatic diacid-derived unit, containing amide, ketone",556.018,5.4751,96.02,1,6,12
[*]CC([*])c1cccc(-c2ccccc2Sc2cccc(CC)c2C#N)c1C#N,1941.9867,1.1598996,1.2307459,709.03314,427.89468,521.1901,"Polymer derived from organic repeating unit, containing no major functional groups",366.489,6.36856,47.58,0,3,6
[*]c1ccc(-c2ccc(-c3ccccc3C(O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C)N3C(=O)c4ccc([*])cc4C3=O)c(C)c2)c(C)c1,2315.662,1.298014,1.3542291,728.414,441.10812,551.8465,"Polymer derived from aromatic unit, containing no major functional groups",651.984,7.56974,65.07,0,5,10
[*]CCCCCCN1C(=O)c2ccc(CN3C(=O)c4ccc(N5C(=O)C(=O)N(CCCCCC[*])C5=O)cc4C3=O)cc2C1=O,2099.1633,1.230663,1.2570674,650.8953,462.09784,531.04944,"Polyimide derived from carbonyl-containing unit, containing amide, imide, ketone",584.629,4.43,132.45,0,7,15
[*]Nc1ccc(N2C(=O)c3ccc(-c4ccc(-c5cc(C)c(-c6cc(C)c([*])c(C)c6)c(C)c5)cc4)cc3C2=O)cc1,2008.4128,1.2776687,1.2537601,775.1338,574.6224,655.1604,"Polymer derived from aromatic unit, containing no major functional groups",520.632,7.77268,49.41,1,3,5
[*]OC(=O)c1ccc(-c2ccc3nc(-c4ccc5oc([*])nc5c4)oc3c2)cc1,2529.9036,1.2701888,0.9666184,836.22046,575.93,697.45514,"Polymer derived from aromatic unit, containing no major functional groups",354.321,4.0987,78.36,0,6,3
[*]NNC(=O)c1ccc(CN2C(=O)c3ccc(N4CC(C)N([*])CC4C)cc3C2=O)c(-c2c(Cl)cc(Cl)cc2Cl)c1,1991.514,1.2661165,1.2635796,667.1409,507.48035,589.84296,"Polyimide derived from aromatic diacid-derived unit, containing amide, imide",584.891,5.172,84.99,2,6,6
[*]Oc1csc(N=Cc2ccc(-c3ccc(C=Nc4nc(-c5ccc(-c6nc7cc(-c8ccc([*])cc8)ccc7[nH]6)cc5)cs4)cc3)cc2)n1,2254.6528,1.1938184,1.0445597,696.0356,495.41562,570.15094,"Polymer derived from organic repeating unit, containing no major functional groups",656.796,9.6628,88.41,1,8,9
[*]c1ccc(-c2ccc(-c3ccc(-c4ccccc4C4(c5ccc([*])cc5)CCCCC4)cc3C)cc2C)cc1,1820.0991,1.2443007,1.2703875,711.0416,486.4588,584.6013,"Polymer derived from aromatic unit, containing no major functional groups",490.69,8.90384,0,0,0,5
[*]N1C(=O)c2ccc(P(=O)(c3ccccc3)c3ccc4c(c3)C(=O)N(C(=O)c3ccc(-c5cccc(Nc6cccc([Si]([*])(C)C)c6)c5)cc3)C4=O)cc2C1=O,2642.3445,1.3173622,1.3398831,673.8101,528.9526,626.40704,"Polyimide derived from carbonyl-containing unit, containing amide, imide, ketone, phosphonate",743.788,6.1947,120.93,1,7,8
[*]c1ccc(-c2ccc(P(=O)(c3ccccc3)c3ccc(N4C(=O)c5ccc(C(F)(F)F)cc5C4=O)cc3)cc2)c(-c2ccc(-c3ccc4c(c3)C(=O)N([*])C4=O)cc2)c1,2089.1912,1.3418357,1.3108631,811.6483,557.06805,663.22296,"Polyimide derived from aromatic diacid-derived unit, containing amide, imide, ketone, phosphonate",786.702,8.3813,91.83,0,5,7
[*]C(=O)c1ccc(Nc2ccc(N3C(=O)c4cc(Cl)c(-c5ccc(C([*])=O)c(C)c5)cc4C3=O)cc2)cc1C,2334.0417,1.310398,1.1313572,767.869,570.485,683.493,"Polymer derived from aromatic diacid-derived unit, containing no major functional groups",506.945,6.54704,83.55,1,5,6
[*]Nc1cc(-c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(-c5ccc([*])o5)nc3)C4=O)nc2)cc(-c2ccccn2)c1,1863.659,1.2995965,1.3021166,651.3204,439.45145,539.3352,"Polyamide derived from aromatic unit, containing amide, ketone",533.547,5.984,101.22,1,7,6
[*]Oc1ccc2ccccc2c1-c1ccc(P(=O)(c2ccccc2)c2ccccc2)c(-c2ccc3c(c2)C(=O)N(c2cccc(-c4cccc([*])c4)c2)C3=O)c1,2283.5752,1.2730721,1.2988548,774.6108,500.36908,602.2841,"Polyphosphonate derived from aromatic unit, containing amide, ketone, phosphonate",715.745,9.2985,63.68,0,4,8
[*]c1ccc(N2C(=O)c3c(c(-c4ccccc4-c4ccc(C(F)(F)F)cc4-c4ccccc4)c4ccccc4c3[*])C2=O)cc1,1884.528,1.3049648,1.2380568,801.241,593.64215,673.8904,"Polymer derived from aromatic unit, containing no major functional groups",567.566,8.0094,37.38,0,2,4
[*]NNC(=O)c1cccc(-c2cccc(N3C(=O)CC(c4cccc(-c5ccc(C6CC(=O)N([*])C6=O)cc5)c4)C3=O)c2)c1,2135.1333,1.3108838,1.3586503,652.93304,467.28833,539.3264,"Polyimide derived from aromatic diacid-derived unit, containing amide, imide, ketone",556.578,4.0732,115.89,2,6,7
